,Unnamed: 0,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,AGE_RANGE,DAYS_EMPLOYED_RANGE,DAYS_REGISTRATION_RANGE,DAYS_ID_PUBLISH_RANGE,DAYS_LAST_PHONE_CHANGE_RANGE,AGE_RANGE_D,TARGET_D
10,10,100014,0.0,Cash loans,F,N,Y,1,112500.0,652500.0,21177.0,652500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.0228,9.0,1,1,0,1,0,0,Core staff,3.0,2,2,SATURDAY,15,0,0,0,0,0,0,Medicine,0.3197601716755032,0.6518623334244781,0.363945238612397,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.069,Panel,No,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,2,1,4,2,2,entre 27-40 ans,credit non remboursé
11,11,100015,0.0,Cash loans,F,N,Y,0,38419.155,148365.0,10678.5,135000.0,Children,Pensioner,Secondary / secondary special,Married,House / apartment,0.015221,9.0,1,0,0,1,1,0,Laborers,2.0,2,2,FRIDAY,7,0,0,0,0,0,0,XNA,0.7220444501416448,0.5551831615131809,0.6528965519806539,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.069,Panel,No,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,4,3,4,3,4,entre 50-65 ans,credit non remboursé
12,12,100016,0.0,Cash loans,F,N,Y,0,67500.0,80865.0,5881.5,67500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.031329,9.0,1,1,1,1,1,0,Laborers,2.0,2,2,FRIDAY,10,0,0,0,0,0,0,Business Entity Type 2,0.4648311169632833,0.7150418188660659,0.1766525794312139,0.0825,0.0765,0.9811,0.7552,0.0213,0.0,0.2069,0.1667,0.2083,0.0135,0.0756,0.0778,0.0,0.0,0.084,0.0749,0.9811,0.7648,0.0192,0.0,0.2069,0.1667,0.2083,0.0138,0.0771,0.081,0.0,0.0,0.0833,0.0761,0.9811,0.7585,0.021,0.0,0.2069,0.1667,0.2083,0.0137,0.077,0.0792,0.0,0.0,reg oper account,block of flats,0.0612,Panel,No,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,2,3,1,4,4,entre 27-40 ans,credit non remboursé
13,13,100017,0.0,Cash loans,M,Y,N,1,225000.0,918468.0,28966.5,697500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.016612,23.0,1,1,0,1,0,0,Drivers,3.0,2,2,THURSDAY,13,0,0,0,0,0,0,Self-employed,0.5061548086628039,0.5669066132460429,0.7700870700124128,0.1474,0.0973,0.9806,0.7348,0.0582,0.16,0.1379,0.3333,0.375,0.0931,0.1202,0.1397,0.0,0.0,0.1502,0.101,0.9806,0.7452,0.0587,0.1611,0.1379,0.3333,0.375,0.0952,0.1313,0.1456,0.0,0.0,0.1489,0.0973,0.9806,0.7383,0.0585,0.16,0.1379,0.3333,0.375,0.0947,0.1223,0.1422,0.0,0.0,reg oper account,block of flats,0.1417,Panel,No,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2,4,1,4,1,entre 27-40 ans,credit non remboursé
14,14,100018,0.0,Cash loans,F,N,Y,0,189000.0,773680.5,32778.0,679500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010006,9.0,1,1,0,1,0,0,Laborers,2.0,2,1,MONDAY,9,0,0,0,0,0,0,Transport: type 2,0.7219397686622343,0.6426562048311103,0.5334816299804352,0.3495,0.1335,0.9985,0.9796,0.1143,0.4,0.1724,0.6667,0.7083,0.1758,0.2849,0.3774,0.0193,0.1001,0.3561,0.1386,0.9985,0.9804,0.1153,0.4028,0.1724,0.6667,0.7083,0.1798,0.3113,0.3932,0.0195,0.106,0.3529,0.1335,0.9985,0.9799,0.115,0.4,0.1724,0.6667,0.7083,0.1789,0.2899,0.3842,0.0194,0.1022,reg oper account,block of flats,0.3811,Panel,No,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,1,3,1,entre 27-40 ans,credit non remboursé
15,15,100019,0.0,Cash loans,M,Y,Y,0,157500.0,299772.0,20160.0,247500.0,Family,Working,Secondary / secondary special,Single / not married,Rented apartment,0.020713,17.0,1,1,0,1,0,0,Laborers,1.0,3,3,SATURDAY,6,0,0,0,1,1,0,Business Entity Type 2,0.1156343372622997,0.34663398139668,0.6785676886853644,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.069,Panel,No,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1,2,4,2,2,moins de 27 ans,credit non remboursé
16,16,100020,0.0,Cash loans,M,N,N,0,108000.0,509602.5,26149.5,387000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018634,9.0,1,1,0,1,0,0,Drivers,2.0,2,2,THURSDAY,12,0,0,0,1,1,0,Government,0.5061548086628039,0.2363778398884225,0.0621030378372968,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.069,Panel,No,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,2,2,5,4,1,entre 27-40 ans,credit non remboursé
17,17,100021,0.0,Revolving loans,F,N,Y,1,81000.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010966,9.0,1,1,0,1,0,0,Laborers,3.0,2,2,MONDAY,10,0,0,0,1,1,0,Construction,0.5061548086628039,0.6835133461914255,0.5334816299804352,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.069,Panel,No,4.0,0.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,4,3,4,moins de 27 ans,credit non remboursé
18,18,100022,0.0,Revolving loans,F,N,Y,0,112500.0,157500.0,7875.0,157500.0,Other_A,Working,Secondary / secondary special,Widow,House / apartment,0.04622,9.0,1,1,0,1,1,0,Laborers,1.0,1,1,FRIDAY,13,0,0,0,0,0,0,Housing,0.5061548086628039,0.7064284028871654,0.5567274263630174,0.0278,0.0617,0.9881,0.8368,0.0018,0.0,0.1034,0.0833,0.125,0.0279,0.0227,0.029,0.0,0.0,0.0284,0.064,0.9881,0.8432,0.0018,0.0,0.1034,0.0833,0.125,0.0286,0.0248,0.0302,0.0,0.0,0.0281,0.0617,0.9881,0.8390000000000001,0.0018,0.0,0.1034,0.0833,0.125,0.0284,0.0231,0.0295,0.0,0.0,reg oper account,block of flats,0.0238,"Stone, brick",No,8.0,0.0,8.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,5,2,1,entre 40-50 ans,credit non remboursé
19,19,100023,0.0,Cash loans,F,N,Y,1,90000.0,544491.0,17563.5,454500.0,Unaccompanied,State servant,Higher education,Single / not married,House / apartment,0.015221,9.0,1,1,1,1,1,0,Core staff,2.0,2,2,MONDAY,12,0,0,0,0,0,0,Kindergarten,0.5061548086628039,0.5866171400119664,0.4776491548517548,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.069,Panel,No,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,2,3,2,4,3,entre 27-40 ans,credit non remboursé
